artist,region,year,is_home,total_streams,days_charted,avg_rank,peak_rank
5 Seconds of Summer,Argentina,2018,global,1078343.0,57,156.0344827586207,88
5 Seconds of Summer,Argentina,2019,global,22165.0,1,186.0,186
5 Seconds of Summer,Australia,2018,home,47490471.0,312,44.41469816272966,1
5 Seconds of Summer,Australia,2019,home,59587863.0,365,60.066834804539724,6
5 Seconds of Summer,Australia,2020,home,27933758.0,364,94.1396933560477,42
5 Seconds of Summer,Australia,2021,home,14468452.0,353,105.57507082152975,70
5 Seconds of Summer,Austria,2018,global,2120931.0,265,58.467924528301886,14
5 Seconds of Summer,Austria,2019,global,1559218.0,284,134.69736842105263,63
5 Seconds of Summer,Austria,2020,global,74669.0,15,153.4,120
5 Seconds of Summer,Belgium,2018,global,5018136.0,288,33.88316151202749,7
5 Seconds of Summer,Belgium,2019,global,5528567.0,360,91.09185441941075,12
5 Seconds of Summer,Belgium,2020,global,1314967.0,168,170.0148514851485,106
5 Seconds of Summer,Bolivia,2018,global,164899.0,137,135.32846715328466,72
5 Seconds of Summer,Bolivia,2019,global,3330.0,3,197.33333333333334,195
5 Seconds of Summer,Brazil,2018,global,10147777.0,122,125.95901639344262,60
5 Seconds of Summer,Brazil,2019,global,535112.0,8,185.75,162
5 Seconds of Summer,Bulgaria,2018,global,2281.0,2,47.0,46
5 Seconds of Summer,Bulgaria,2019,global,80094.0,64,42.109375,16
5 Seconds of Summer,Bulgaria,2020,global,8887.0,8,71.875,58
5 Seconds of Summer,Canada,2018,global,24580826.0,296,43.77777777777778,11
5 Seconds of Summer,Canada,2019,global,30499160.0,360,82.70840480274443,19
5 Seconds of Summer,Canada,2020,global,11190618.0,270,150.83227848101265,62
5 Seconds of Summer,Canada,2021,global,173179.0,6,190.5,186
5 Seconds of Summer,Chile,2018,global,562735.0,36,164.63888888888889,92
5 Seconds of Summer,Colombia,2018,global,493412.0,80,145.4625,84
5 Seconds of Summer,Costa Rica,2018,global,542985.0,170,122.60588235294118,66
