artist,month,region,is_home,total_streams
5 Seconds of Summer,2018-02,Argentina,global,30956.0
5 Seconds of Summer,2018-02,Australia,home,347778.0
5 Seconds of Summer,2018-02,Austria,global,17685.0
5 Seconds of Summer,2018-02,Belgium,global,35271.0
5 Seconds of Summer,2018-02,Canada,global,277551.0
5 Seconds of Summer,2018-02,Chile,global,23573.0
5 Seconds of Summer,2018-02,Colombia,global,8112.0
5 Seconds of Summer,2018-02,Costa Rica,global,3045.0
5 Seconds of Summer,2018-02,Czech Republic,global,18852.0
5 Seconds of Summer,2018-02,Denmark,global,109457.0
5 Seconds of Summer,2018-02,Estonia,global,1917.0
5 Seconds of Summer,2018-02,Finland,global,58463.0
5 Seconds of Summer,2018-02,Germany,global,150166.0
5 Seconds of Summer,2018-02,Global,global,6904064.0
5 Seconds of Summer,2018-02,Greece,global,9601.0
5 Seconds of Summer,2018-02,Hong Kong,global,26162.0
5 Seconds of Summer,2018-02,Hungary,global,19866.0
5 Seconds of Summer,2018-02,Iceland,global,1122.0
5 Seconds of Summer,2018-02,Indonesia,global,212789.0
5 Seconds of Summer,2018-02,Ireland,global,78097.0
5 Seconds of Summer,2018-02,Italy,global,98945.0
5 Seconds of Summer,2018-02,Japan,global,4600.0
5 Seconds of Summer,2018-02,Latvia,global,1638.0
5 Seconds of Summer,2018-02,Lithuania,global,2206.0
5 Seconds of Summer,2018-02,Malaysia,global,78982.0
5 Seconds of Summer,2018-02,Mexico,global,65436.0
5 Seconds of Summer,2018-02,Netherlands,global,129202.0
5 Seconds of Summer,2018-02,New Zealand,global,58385.0
5 Seconds of Summer,2018-02,Norway,global,141676.0
5 Seconds of Summer,2018-02,Panama,global,1148.0
5 Seconds of Summer,2018-02,Paraguay,global,1564.0
5 Seconds of Summer,2018-02,Peru,global,8174.0
5 Seconds of Summer,2018-02,Philippines,global,308293.0
5 Seconds of Summer,2018-02,Poland,global,145652.0
5 Seconds of Summer,2018-02,Portugal,global,23585.0
5 Seconds of Summer,2018-02,Singapore,global,81287.0
5 Seconds of Summer,2018-02,Slovakia,global,7112.0
5 Seconds of Summer,2018-02,Spain,global,34156.0
5 Seconds of Summer,2018-02,Sweden,global,236920.0
5 Seconds of Summer,2018-02,Switzerland,global,12274.0
5 Seconds of Summer,2018-02,Taiwan,global,38000.0
5 Seconds of Summer,2018-02,Thailand,global,19255.0
5 Seconds of Summer,2018-02,United Kingdom,global,693147.0
5 Seconds of Summer,2018-02,United States,global,2449697.0
5 Seconds of Summer,2018-02,Uruguay,global,2093.0
5 Seconds of Summer,2018-03,Australia,home,1555885.0
5 Seconds of Summer,2018-03,Austria,global,2306.0
5 Seconds of Summer,2018-03,Belgium,global,125628.0
5 Seconds of Summer,2018-03,Canada,global,978553.0
5 Seconds of Summer,2018-03,Czech Republic,global,63951.0
5 Seconds of Summer,2018-03,Denmark,global,202856.0
5 Seconds of Summer,2018-03,Finland,global,6548.0
5 Seconds of Summer,2018-03,Global,global,18589319.0
5 Seconds of Summer,2018-03,Greece,global,22156.0
5 Seconds of Summer,2018-03,Hong Kong,global,99115.0
5 Seconds of Summer,2018-03,Hungary,global,51329.0
5 Seconds of Summer,2018-03,Indonesia,global,735342.0
5 Seconds of Summer,2018-03,Ireland,global,270638.0
5 Seconds of Summer,2018-03,Italy,global,24189.0
5 Seconds of Summer,2018-03,Latvia,global,4161.0
5 Seconds of Summer,2018-03,Lithuania,global,1048.0
5 Seconds of Summer,2018-03,Malaysia,global,374907.0
5 Seconds of Summer,2018-03,New Zealand,global,228299.0
5 Seconds of Summer,2018-03,Norway,global,540456.0
5 Seconds of Summer,2018-03,Philippines,global,1177118.0
5 Seconds of Summer,2018-03,Poland,global,163985.0
5 Seconds of Summer,2018-03,Portugal,global,50409.0
5 Seconds of Summer,2018-03,Romania,global,1060.0
5 Seconds of Summer,2018-03,Singapore,global,430524.0
5 Seconds of Summer,2018-03,Slovakia,global,13862.0
5 Seconds of Summer,2018-03,Spain,global,20799.0
5 Seconds of Summer,2018-03,Sweden,global,644019.0
5 Seconds of Summer,2018-03,Taiwan,global,171616.0
5 Seconds of Summer,2018-03,Thailand,global,71907.0
5 Seconds of Summer,2018-03,United Kingdom,global,2141208.0
5 Seconds of Summer,2018-03,United States,global,5512059.0
5 Seconds of Summer,2018-03,Vietnam,global,17862.0
5 Seconds of Summer,2018-04,Australia,home,2112622.0
5 Seconds of Summer,2018-04,Austria,global,62565.0
5 Seconds of Summer,2018-04,Belgium,global,84846.0
5 Seconds of Summer,2018-04,Canada,global,710269.0
5 Seconds of Summer,2018-04,Czech Republic,global,42679.0
5 Seconds of Summer,2018-04,Denmark,global,340770.0
5 Seconds of Summer,2018-04,Estonia,global,3201.0
5 Seconds of Summer,2018-04,Finland,global,277738.0
5 Seconds of Summer,2018-04,France,global,136651.0
5 Seconds of Summer,2018-04,Germany,global,627173.0
5 Seconds of Summer,2018-04,Global,global,16265206.0
5 Seconds of Summer,2018-04,Greece,global,20987.0
5 Seconds of Summer,2018-04,Hong Kong,global,59014.0
5 Seconds of Summer,2018-04,Hungary,global,54658.0
5 Seconds of Summer,2018-04,Indonesia,global,689515.0
5 Seconds of Summer,2018-04,Ireland,global,229336.0
5 Seconds of Summer,2018-04,Israel,global,8351.0
5 Seconds of Summer,2018-04,Italy,global,329556.0
5 Seconds of Summer,2018-04,Latvia,global,10046.0
5 Seconds of Summer,2018-04,Lithuania,global,15440.0
5 Seconds of Summer,2018-04,Malaysia,global,348684.0
5 Seconds of Summer,2018-04,Netherlands,global,146606.0
5 Seconds of Summer,2018-04,New Zealand,global,306705.0
5 Seconds of Summer,2018-04,Norway,global,830179.0
5 Seconds of Summer,2018-04,Philippines,global,907206.0
5 Seconds of Summer,2018-04,Poland,global,290797.0
5 Seconds of Summer,2018-04,Portugal,global,42714.0
5 Seconds of Summer,2018-04,Romania,global,18288.0
5 Seconds of Summer,2018-04,Singapore,global,388524.0
